16:26:59,161 28.11.2013	

time [s];Voltage over 220Ohm;Current in[mA];Voltage out
15,482;3,300;0,806;3,663;1,398
15,582;3,300;0,806;3,663;1,398
15,682;3,300;0,806;3,664;1,398
15,781;3,300;0,806;3,664;1,398
15,881;3,300;0,806;3,665;1,398
15,981;3,300;0,806;3,664;1,397
16,081;3,300;0,806;3,663;1,397
16,181;3,300;0,806;3,663;1,397
16,281;3,300;0,806;3,663;1,398
16,381;3,300;0,806;3,663;1,397
16,481;3,300;0,806;3,662;1,397
16,581;3,300;0,806;3,663;1,397
16,681;3,300;0,806;3,663;1,397
16,781;3,300;0,806;3,664;1,397
16,881;3,300;0,806;3,664;1,398
16,981;3,300;0,806;3,664;1,397
17,081;3,300;0,806;3,664;1,398
17,181;3,300;0,806;3,664;1,398
17,281;3,300;0,806;3,664;1,397
17,381;3,300;0,806;3,663;1,398
17,481;3,300;0,806;3,663;1,397
17,581;3,300;0,806;3,662;1,397
17,681;3,300;0,806;3,662;1,397
17,781;3,300;0,806;3,663;1,398
17,881;3,300;0,806;3,663;1,397
17,981;3,300;0,806;3,663;1,398
18,081;3,300;0,806;3,664;1,398
18,181;3,300;0,806;3,665;1,398
18,281;3,300;0,806;3,665;1,397
18,381;3,300;0,806;3,665;1,398
18,481;3,300;0,806;3,663;1,398
18,581;3,300;0,806;3,662;1,397
18,681;3,300;0,806;3,663;1,397
18,781;3,300;0,806;3,663;1,397
18,881;3,300;0,806;3,664;1,397
18,981;3,300;0,806;3,664;1,397
19,081;3,300;0,806;3,664;1,397
19,181;3,300;0,806;3,664;1,397
19,281;3,300;0,806;3,664;1,397
19,381;3,300;0,806;3,664;1,398
19,481;3,300;0,806;3,665;1,397
19,581;3,300;0,806;3,663;1,397
19,681;3,300;0,806;3,662;1,398
19,781;3,300;0,806;3,663;1,397
19,881;3,300;0,806;3,663;1,397
19,981;3,300;0,806;3,663;1,397
20,081;3,300;0,806;3,664;1,397
20,181;3,300;0,806;3,664;1,397
20,281;3,300;0,806;3,664;1,398
20,381;3,300;0,806;3,665;1,398
20,481;3,300;0,806;3,665;1,397
20,581;3,300;0,806;3,664;1,398
20,681;3,300;0,806;3,663;1,397
20,781;3,300;0,806;3,663;1,397
20,881;3,300;0,806;3,663;1,397
20,981;3,300;0,806;3,663;1,397
21,081;3,300;0,806;3,664;1,397
21,181;3,300;0,806;3,664;1,397
21,281;3,300;0,806;3,664;1,397
21,381;3,300;0,806;3,665;1,398
21,481;3,300;0,806;3,665;1,398
21,581;3,300;0,806;3,664;1,397
21,681;3,300;0,806;3,662;1,398
21,781;3,300;0,806;3,663;1,398
21,881;3,300;0,806;3,663;1,397
21,981;3,300;0,806;3,663;1,397
22,081;3,300;0,806;3,663;1,398
22,181;3,300;0,806;3,664;1,398
22,281;3,300;0,806;3,664;1,398
22,381;3,300;0,806;3,664;1,397
22,481;3,300;0,806;3,665;1,397
22,581;3,300;0,806;3,665;1,398
22,681;3,300;0,806;3,664;1,397
22,781;3,300;0,806;3,663;1,398
22,881;3,300;0,806;3,663;1,398
22,981;3,300;0,806;3,663;1,397
23,081;3,300;0,806;3,664;1,397
23,181;3,300;0,806;3,663;1,397
23,281;3,300;0,806;3,664;1,397
23,381;3,300;0,806;3,664;1,397
23,481;3,300;0,806;3,665;1,397
23,581;3,300;0,806;3,663;1,397
23,681;3,300;0,806;3,662;1,397
23,781;3,300;0,806;3,664;1,398
23,881;3,300;0,806;3,664;1,397
23,981;3,300;0,806;3,665;1,398
24,081;3,300;0,806;3,666;1,398
24,181;3,300;0,806;3,665;1,397
24,281;3,300;0,806;3,662;1,398
24,381;3,300;0,806;3,664;1,398
24,481;3,300;0,806;3,665;1,397
24,581;3,300;0,806;3,666;1,398
24,681;3,300;0,807;3,666;1,397
24,781;3,300;0,806;3,663;1,398
24,881;3,300;0,806;3,663;1,397
24,981;3,300;0,806;3,664;1,397
25,081;3,300;0,806;3,665;1,397
25,181;3,300;0,807;3,666;1,397
25,281;3,300;0,806;3,666;1,397
25,381;3,300;0,806;3,662;1,397
25,481;3,300;0,806;3,663;1,397
25,581;3,300;0,806;3,664;1,398
25,681;3,300;0,806;3,665;1,397
25,781;3,300;0,807;3,666;1,397
25,881;3,300;0,806;3,665;1,397
25,981;3,300;0,806;3,662;1,397
26,081;3,300;0,806;3,663;1,397
26,181;3,300;0,806;3,664;1,397
26,282;3,300;0,806;3,664;1,398
26,382;3,300;0,806;3,665;1,397
26,482;3,300;0,806;3,666;1,398
26,582;3,300;0,806;3,664;1,398
26,682;3,300;0,806;3,662;1,398
26,782;3,300;0,806;3,663;1,398
26,882;3,300;0,806;3,664;1,397
26,982;3,300;0,806;3,665;1,398
27,082;3,300;0,806;3,665;1,398
27,182;3,300;0,806;3,665;1,398
27,282;3,300;0,806;3,664;1,397
27,382;3,300;0,806;3,663;1,398
27,482;3,300;0,806;3,662;1,397
27,582;3,300;0,806;3,663;1,398
27,682;3,300;0,806;3,663;1,397
27,782;3,300;0,806;3,663;1,397
27,882;3,300;0,806;3,664;1,397
27,982;3,300;0,806;3,665;1,397
28,082;3,300;0,806;3,666;1,397
28,182;3,300;0,806;3,665;1,397
28,282;3,300;0,806;3,663;1,398
28,382;3,300;0,806;3,663;1,398
28,482;3,300;0,806;3,664;1,397
28,582;3,300;0,806;3,663;1,398
28,682;3,300;0,806;3,664;1,398
28,782;3,300;0,806;3,665;1,397
28,882;3,300;0,806;3,665;1,398
28,982;3,300;0,806;3,665;1,398
29,082;3,300;0,806;3,663;1,398
29,182;3,300;0,806;3,662;1,398
29,282;3,300;0,806;3,663;1,397
29,382;3,300;0,806;3,664;1,398
29,482;3,300;0,806;3,664;1,398
29,582;3,300;0,806;3,665;1,397
29,682;3,300;0,806;3,665;1,398
29,782;3,300;0,806;3,665;1,398
29,882;3,300;0,806;3,663;1,398
29,982;3,300;0,806;3,663;1,397
30,082;3,300;0,806;3,663;1,398
30,182;3,300;0,806;3,663;1,398
30,282;3,300;0,806;3,664;1,397
30,382;3,300;0,806;3,664;1,397
30,482;3,300;0,806;3,664;1,397
30,582;3,300;0,807;3,666;1,397
30,682;3,300;0,806;3,664;1,397
30,782;3,300;0,806;3,662;1,397
30,882;3,300;0,806;3,663;1,397
30,982;3,300;0,806;3,663;1,397
31,082;3,300;0,806;3,664;1,398
31,182;3,300;0,806;3,665;1,398
31,282;3,300;0,806;3,665;1,397
31,382;3,300;0,806;3,665;1,398
31,482;3,300;0,806;3,662;1,397
