16:34:38,963 28.11.2013	

time [s];Voltage over 220Ohm;Current in[mA];Voltage out
0,000;3,300;0,442;2,010;1,054
0,068;3,300;0,441;2,003;1,053
0,168;3,300;0,451;2,052;1,054
0,268;3,300;0,449;2,041;1,054
0,368;3,300;0,444;2,017;1,054
2,625;3,300;0,431;1,958;1,054
