10.11.2005	14:57
Strøm 3,3V  	  Strøm 2,5V	    Teller	       Sendt	        Mottatt	            Sjekk	       Sekunder	   Sendt	     Mottatt
----------------------------------------------------------------------------------------------------------------------------------------------------------
19,92     	  22,40   	    0      	     1001010      	0         	    FALSE 	       0,00   	   4A     	     0         
19,69     	  22,25   	    0      	     1000101      	0         	    FALSE 	       0,27   	   45     	     0         
15,94     	  22,28   	    0      	     1001010      	0         	    FALSE 	       0,51   	   4A     	     0         
15,89     	  22,12   	    0      	     1000101      	0         	    FALSE 	       0,55   	   45     	     0         
19,49     	  22,18   	    0      	     1001010      	0         	    FALSE 	       0,65   	   4A     	     0         
22,79     	  22,14   	    0      	     1000101      	0         	    FALSE 	       0,75   	   45     	     0         
19,09     	  22,14   	    0      	     1001010      	0         	    FALSE 	       0,88   	   4A     	     0         
18,99     	  22,18   	    0      	     1000101      	0         	    FALSE 	       0,95   	   45     	     0         
19,08     	  22,16   	    0      	     1001010      	0         	    FALSE 	       1,05   	   4A     	     0         
15,94     	  22,25   	    0      	     1000101      	0         	    FALSE 	       1,15   	   45     	     0         
16,28     	  22,14   	    0      	     1001010      	0         	    FALSE 	       1,25   	   4A     	     0         
16,96     	  22,08   	    0      	     1000101      	0         	    FALSE 	       1,35   	   45     	     0         
15,65     	  22,25   	    0      	     1001010      	0         	    FALSE 	       1,45   	   4A     	     0         
15,85     	  22,12   	    0      	     1000101      	0         	    FALSE 	       1,55   	   45     	     0         
19,74     	  22,04   	    0      	     1001010      	0         	    FALSE 	       1,64   	   4A     	     0         
19,04     	  22,13   	    0      	     1000101      	0         	    FALSE 	       1,75   	   45     	     0         
20,15     	  22,09   	    0      	     1001010      	0         	    FALSE 	       1,85   	   4A     	     0         
23,48     	  22,16   	    0      	     1000101      	0         	    FALSE 	       1,94   	   45     	     0         
19,96     	  22,23   	    0      	     1001010      	0         	    FALSE 	       2,07   	   4A     	     0         
16,89     	  22,12   	    0      	     1000101      	0         	    FALSE 	       2,14   	   45     	     0         
