11.11.2005	11:22
Strøm 3,3V  	  Strøm 2,5V	    Teller	       Sendt	        Mottatt	            Sjekk	       Sekunder	   Sendt	     Mottatt
----------------------------------------------------------------------------------------------------------------------------------------------------------
23,77     	  24,97   	    5      	      1001010      	0         	    FALSE 	       0,00   	   4A     	     0         
27,07     	  25,40   	    2937   	      1000101      	0         	    FALSE 	       0,18   	   45     	     0         
27,68     	  25,34   	    5946   	      1001010      	0         	    FALSE 	       0,32   	   4A     	     0         
31,52     	  25,35   	    8157   	      1000101      	0         	    FALSE 	       0,44   	   45     	     0         
30,69     	  25,48   	    10434  	      1001010      	0         	    FALSE 	       0,54   	   4A     	     0         
31,05     	  25,58   	    12628  	      1000101      	0         	    FALSE 	       0,64   	   45     	     0         
31,53     	  25,54   	    14795  	      1001010      	0         	    FALSE 	       0,74   	   4A     	     0         
31,49     	  25,50   	    16928  	      1000101      	0         	    FALSE 	       0,84   	   45     	     0         
27,54     	  25,51   	    19207  	      1001010      	0         	    FALSE 	       0,94   	   4A     	     0         
27,74     	  25,40   	    21448  	      1000101      	0         	    FALSE 	       1,04   	   45     	     0         
26,98     	  25,40   	    23627  	      1001010      	0         	    FALSE 	       1,14   	   4A     	     0         
23,33     	  25,44   	    26268  	      1000101      	0         	    FALSE 	       1,24   	   45     	     0         
27,26     	  25,30   	    28076  	      1001010      	0         	    FALSE 	       1,35   	   4A     	     0         
30,72     	  25,48   	    30348  	      1000101      	0         	    FALSE 	       1,44   	   45     	     0         
31,29     	  25,50   	    32582  	      1001010      	0         	    FALSE 	       1,54   	   4A     	     0         
31,54     	  25,60   	    34851  	      1000101      	0         	    FALSE 	       1,64   	   45     	     0         
31,20     	  25,58   	    37010  	      1001010      	0         	    FALSE 	       1,74   	   4A     	     0         
31,00     	  25,50   	    39338  	      1000101      	0         	    FALSE 	       1,84   	   45     	     0         
27,03     	  25,50   	    41515  	      1001010      	0         	    FALSE 	       1,94   	   4A     	     0         
26,98     	  25,29   	    43818  	      1000101      	0         	    FALSE 	       2,04   	   45     	     0         
27,08     	  25,21   	    45998  	      1001010      	0         	    FALSE 	       2,13   	   4A     	     0         
27,07     	  25,27   	    48304  	      1000101      	0         	    FALSE 	       2,24   	   45     	     0         
27,45     	  25,39   	    50434  	      1001010      	0         	    FALSE 	       2,34   	   4A     	     0         
31,40     	  25,41   	    52689  	      1000101      	0         	    FALSE 	       2,45   	   45     	     0         
27,42     	  25,44   	    55552  	      1001010      	0         	    FALSE 	       2,53   	   4A     	     0         
27,65     	  25,70   	    58037  	      1000101      	0         	    FALSE 	       2,70   	   45     	     0         
27,68     	  25,64   	    59521  	      1001010      	0         	    FALSE 	       2,81   	   4A     	     0         
31,09     	  25,60   	    61505  	      1000101      	0         	    FALSE 	       2,85   	   45     	     0         
26,92     	  25,46   	    63684  	      1001010      	0         	    FALSE 	       2,93   	   4A     	     0         
27,63     	  25,37   	    65878  	      1000101      	0         	    FALSE 	       3,03   	   45     	     0         
27,59     	  25,29   	    68040  	      1001010      	0         	    FALSE 	       3,13   	   4A     	     0         
27,56     	  25,40   	    70329  	      1000101      	0         	    FALSE 	       3,24   	   45     	     0         
27,12     	  25,27   	    72486  	      1001010      	0         	    FALSE 	       3,35   	   4A     	     0         
31,25     	  25,29   	    74693  	      1000101      	0         	    FALSE 	       3,43   	   45     	     0         
31,14     	  25,58   	    76851  	      1001010      	0         	    FALSE 	       3,53   	   4A     	     0         
30,86     	  25,51   	    79031  	      1000101      	0         	    FALSE 	       3,64   	   45     	     0         
31,29     	  25,58   	    81161  	      1001010      	0         	    FALSE 	       3,74   	   4A     	     0         
31,11     	  25,45   	    83437  	      1000101      	0         	    FALSE 	       3,84   	   45     	     0         
26,85     	  25,49   	    85697  	      1001010      	0         	    FALSE 	       3,94   	   4A     	     0         
27,23     	  25,35   	    87883  	      1000101      	0         	    FALSE 	       4,04   	   45     	     0         
27,40     	  25,35   	    90224  	      1001010      	0         	    FALSE 	       4,14   	   4A     	     0         
23,25     	  25,40   	    93107  	      1000101      	0         	    FALSE 	       4,24   	   45     	     0         
27,02     	  25,35   	    94501  	      1001010      	0         	    FALSE 	       4,38   	   4A     	     0         
31,51     	  25,37   	    96773  	      1000101      	0         	    FALSE 	       4,44   	   45     	     0         
31,04     	  25,44   	    99069  	      1001010      	0         	    FALSE 	       4,54   	   4A     	     0         
30,88     	  25,53   	    101265 	      1000101      	0         	    FALSE 	       4,64   	   45     	     0         
30,96     	  25,39   	    103574 	      1001010      	0         	    FALSE 	       4,74   	   4A     	     0         
31,63     	  25,60   	    105821 	      1000101      	0         	    FALSE 	       4,84   	   45     	     0         
27,51     	  25,40   	    108080 	      1001010      	0         	    FALSE 	       4,94   	   4A     	     0         
27,42     	  25,50   	    110276 	      1000101      	0         	    FALSE 	       5,04   	   45     	     0         
27,54     	  25,35   	    112548 	      1001010      	0         	    FALSE 	       5,14   	   4A     	     0         
27,65     	  25,40   	    115242 	      1000101      	0         	    FALSE 	       5,24   	   45     	     0         
23,67     	  25,58   	    118191 	      1001010      	0         	    FALSE 	       5,39   	   4A     	     0         
31,14     	  25,68   	    119192 	      1000101      	0         	    FALSE 	       5,50   	   45     	     0         
31,53     	  25,49   	    121412 	      1001010      	0         	    FALSE 	       5,54   	   4A     	     0         
31,10     	  25,50   	    123605 	      1000101      	0         	    FALSE 	       5,64   	   45     	     0         
30,82     	  25,44   	    125867 	      1001010      	0         	    FALSE 	       5,74   	   4A     	     0         
31,54     	  25,44   	    128029 	      1000101      	0         	    FALSE 	       5,84   	   45     	     0         
27,63     	  25,55   	    130308 	      1001010      	0         	    FALSE 	       5,94   	   4A     	     0         
27,46     	  25,37   	    132473 	      1000101      	0         	    FALSE 	       6,04   	   45     	     0         
26,95     	  25,29   	    134653 	      1001010      	0         	    FALSE 	       6,14   	   4A     	     0         
27,74     	  25,43   	    136808 	      1000101      	0         	    FALSE 	       6,24   	   45     	     0         
23,62     	  25,48   	    139354 	      1001010      	0         	    FALSE 	       6,35   	   4A     	     0         
27,08     	  25,29   	    141867 	      1000101      	0         	    FALSE 	       6,45   	   45     	     0         
27,02     	  25,64   	    144149 	      1001010      	0         	    FALSE 	       6,56   	   4A     	     0         
27,46     	  25,45   	    146667 	      1000101      	0         	    FALSE 	       6,67   	   45     	     0         
27,02     	  25,50   	    149144 	      1001010      	0         	    FALSE 	       6,78   	   4A     	     0         
31,65     	  25,59   	    150631 	      1000101      	0         	    FALSE 	       6,89   	   45     	     0         
23,62     	  25,48   	    153264 	      1001010      	0         	    FALSE 	       6,96   	   4A     	     0         
27,78     	  25,50   	    154647 	      1000101      	0         	    FALSE 	       7,10   	   45     	     0         
27,02     	  25,37   	    156845 	      1001010      	0         	    FALSE 	       7,14   	   4A     	     0         
27,07     	  25,48   	    159172 	      1000101      	0         	    FALSE 	       7,24   	   45     	     0         
23,46     	  25,39   	    161772 	      1001010      	0         	    FALSE 	       7,34   	   4A     	     0         
27,51     	  25,30   	    164263 	      1000101      	0         	    FALSE 	       7,45   	   45     	     0         
27,00     	  25,68   	    166646 	      1001010      	0         	    FALSE 	       7,56   	   4A     	     0         
27,40     	  25,64   	    169345 	      1000101      	0         	    FALSE 	       7,67   	   45     	     0         
27,36     	  25,59   	    171738 	      1001010      	0         	    FALSE 	       7,81   	   4A     	     0         
26,90     	  25,76   	    172922 	      1000101      	0         	    FALSE 	       7,89   	   45     	     0         
27,18     	  25,48   	    173016 	      1001010      	0         	    FALSE 	       8,00   	   4A     	     0         
23,57     	  25,55   	    174232 	      1000101      	0         	    FALSE 	       8,07   	   45     	     0         
