10.11.2005	16:15
Strøm 3,3V  	  Strøm 2,5V	    Teller	       Sendt	        Mottatt	            Sjekk	       Sekunder	   Sendt	     Mottatt
----------------------------------------------------------------------------------------------------------------------------------------------------------
16,88     	  21,71   	    6      	     1001010      	0         	    FALSE 	       0,00   	   4A     	     0         
20,25     	  21,57   	    5065   	     1000101      	0         	    FALSE 	       0,17   	   45     	     0         
23,27     	  21,64   	    5819   	     1001010      	0         	    FALSE 	       0,31   	   4A     	     0         
23,19     	  21,57   	    8790   	     1000101      	0         	    FALSE 	       0,34   	   45     	     0         
23,15     	  21,52   	    12141  	     1001010      	0         	    FALSE 	       0,45   	   4A     	     0         
20,51     	  21,48   	    14101  	     1000101      	0         	    FALSE 	       0,56   	   45     	     0         
20,24     	  21,61   	    17617  	     1001010      	0         	    FALSE 	       0,63   	   4A     	     0         
16,93     	  21,59   	    19587  	     1000101      	0         	    FALSE 	       0,76   	   45     	     0         
17,47     	  21,67   	    22516  	     1001010      	0         	    FALSE 	       0,83   	   4A     	     0         
17,43     	  21,65   	    25253  	     1000101      	0         	    FALSE 	       0,93   	   45     	     0         
17,02     	  21,57   	    28102  	     1001010      	0         	    FALSE 	       1,03   	   4A     	     0         
20,15     	  21,46   	    30863  	     1000101      	0         	    FALSE 	       1,13   	   45     	     0         
20,38     	  21,56   	    33664  	     1001010      	0         	    FALSE 	       1,23   	   4A     	     0         
20,20     	  21,67   	    36418  	     1000101      	0         	    FALSE 	       1,33   	   45     	     0         
20,44     	  21,69   	    39246  	     1001010      	0         	    FALSE 	       1,43   	   4A     	     0         
20,67     	  21,57   	    41875  	     1000101      	0         	    FALSE 	       1,53   	   45     	     0         
17,77     	  21,64   	    44746  	     1001010      	0         	    FALSE 	       1,63   	   4A     	     0         
18,61     	  21,59   	    47441  	     1000101      	0         	    FALSE 	       1,73   	   45     	     0         
17,72     	  21,69   	    50201  	     1001010      	0         	    FALSE 	       1,83   	   4A     	     0         
17,47     	  21,74   	    52848  	     1000101      	0         	    FALSE 	       1,93   	   45     	     0         
17,63     	  21,57   	    55721  	     1001010      	0         	    FALSE 	       2,03   	   4A     	     0         
20,14     	  21,60   	    58416  	     1000101      	0         	    FALSE 	       2,13   	   45     	     0         
23,29     	  21,62   	    61794  	     1001010      	0         	    FALSE 	       2,23   	   4A     	     0         
20,15     	  21,59   	    64048  	     1000101      	0         	    FALSE 	       2,36   	   45     	     0         
21,43     	  21,57   	    66845  	     1001010      	0         	    FALSE 	       2,43   	   4A     	     0         
20,67     	  21,64   	    69492  	     1000101      	0         	    FALSE 	       2,53   	   45     	     0         
20,37     	  21,65   	    72500  	     1001010      	0         	    FALSE 	       2,63   	   4A     	     0         
20,61     	  21,73   	    75162  	     1000101      	0         	    FALSE 	       2,75   	   45     	     0         
20,52     	  21,66   	    78229  	     1001010      	0         	    FALSE 	       2,84   	   4A     	     0         
