10.11.2005	13:56
Strøm 3,3V  	  Strøm 2,5V	    Teller	       Sendt	        Mottatt	            Sjekk	       Sekunder	   Sendt	     Mottatt
----------------------------------------------------------------------------------------------------------------------------------------------------------
20,91     	  23,42   	    0      	      1001010      	0         	    FALSE 	       0,00   	   4A     	     0         
20,52     	  23,20   	    131    	      1000101      	0         	    FALSE 	       0,27   	   45     	     0         
21,32     	  23,31   	    264    	      1001010      	0         	    FALSE 	       0,36   	   4A     	     0         
18,71     	  23,48   	    775    	      1000101      	0         	    FALSE 	       0,39   	   45     	     0         
21,70     	  23,20   	    1169   	      1001010      	0         	    FALSE 	       0,53   	   4A     	     0         
20,99     	  23,11   	    1516   	      1000101      	0         	    FALSE 	       0,64   	   45     	     0         
20,95     	  23,28   	    1924   	      1001010      	0         	    FALSE 	       0,74   	   4A     	     0         
23,63     	  23,17   	    2156   	      1000101      	0         	    FALSE 	       0,86   	   45     	     0         
24,60     	  23,16   	    2520   	      1001010      	0         	    FALSE 	       0,89   	   4A     	     0         
21,93     	  23,25   	    2937   	      1000101      	0         	    FALSE 	       0,99   	   45     	     0         
20,38     	  23,24   	    3308   	      1001010      	0         	    FALSE 	       1,09   	   4A     	     0         
21,85     	  23,20   	    3670   	      1000101      	0         	    FALSE 	       1,19   	   45     	     0         
21,06     	  23,35   	    4072   	      1001010      	0         	    FALSE 	       1,29   	   4A     	     0         
17,36     	  23,31   	    4526   	      1000101      	0         	    FALSE 	       1,39   	   45     	     0         
21,18     	  23,24   	    4937   	      1001010      	0         	    FALSE 	       1,54   	   4A     	     0         
20,42     	  23,03   	    5276   	      1000101      	0         	    FALSE 	       1,63   	   45     	     0         
22,13     	  23,17   	    5688   	      1001010      	0         	    FALSE 	       1,73   	   4A     	     0         
22,02     	  23,07   	    6093   	      1000101      	0         	    FALSE 	       1,83   	   45     	     0         
20,65     	  23,11   	    6525   	      1001010      	0         	    FALSE 	       1,93   	   4A     	     0         
17,66     	  23,11   	    6959   	      1000101      	0         	    FALSE 	       2,03   	   45     	     0         
21,55     	  23,16   	    7275   	      1001010      	0         	    FALSE 	       2,13   	   4A     	     0         
21,88     	  23,16   	    7599   	      1000101      	0         	    FALSE 	       2,21   	   45     	     0         
20,44     	  23,34   	    8012   	      1001010      	0         	    FALSE 	       2,30   	   4A     	     0         
17,92     	  23,20   	    8400   	      1000101      	0         	    FALSE 	       2,41   	   45     	     0         
21,66     	  23,17   	    8802   	      1001010      	0         	    FALSE 	       2,51   	   4A     	     0         
21,24     	  23,03   	    9198   	      1000101      	0         	    FALSE 	       2,61   	   45     	     0         
20,62     	  23,17   	    9594   	      1001010      	0         	    FALSE 	       2,72   	   4A     	     0         
21,65     	  23,17   	    9997   	      1000101      	0         	    FALSE 	       2,82   	   45     	     0         
21,69     	  23,05   	    10407  	      1001010      	0         	    FALSE 	       2,92   	   4A     	     0         
18,24     	  23,25   	    10784  	      1000101      	0         	    FALSE 	       3,02   	   45     	     0         
17,31     	  23,25   	    11118  	      1001010      	0         	    FALSE 	       3,13   	   4A     	     0         
17,43     	  23,11   	    11531  	      1000101      	0         	    FALSE 	       3,21   	   45     	     0         
18,84     	  23,11   	    11929  	      1001010      	0         	    FALSE 	       3,33   	   4A     	     0         
17,40     	  23,12   	    12296  	      1000101      	0         	    FALSE 	       3,42   	   45     	     0         
21,09     	  23,10   	    12686  	      1001010      	0         	    FALSE 	       3,54   	   4A     	     0         
21,36     	  22,97   	    13077  	      1000101      	0         	    FALSE 	       3,64   	   45     	     0         
21,59     	  23,17   	    13471  	      1001010      	0         	    FALSE 	       3,74   	   4A     	     0         
20,96     	  22,98   	    13856  	      1000101      	0         	    FALSE 	       3,84   	   45     	     0         
20,56     	  23,07   	    14257  	      1001010      	0         	    FALSE 	       3,93   	   4A     	     0         
18,28     	  23,16   	    14587  	      1000101      	0         	    FALSE 	       4,04   	   45     	     0         
18,99     	  23,24   	    15000  	      1001010      	0         	    FALSE 	       4,14   	   4A     	     0         
17,67     	  23,17   	    15335  	      1000101      	0         	    FALSE 	       4,26   	   45     	     0         
17,43     	  23,16   	    15721  	      1001010      	0         	    FALSE 	       4,33   	   4A     	     0         
